iter	Passed	Remaining
327	7660	6352
328	7672	6319
329	7700	6300
330	7718	6272
331	7731	6241
332	7762	6223
333	7778	6195
334	7792	6163
335	7804	6132
336	7834	6114
337	7851	6085
338	7865	6055
339	7893	6036
340	7910	6007
341	7923	5977
342	7935	5945
343	7966	5928
344	7982	5899
345	7995	5869
346	8008	5838
347	8038	5821
348	8054	5792
349	8068	5763
350	8099	5745
351	8115	5717
352	8127	5687
353	8141	5657
354	8171	5639
355	8187	5611
356	8201	5582
357	8231	5564
358	8247	5536
359	8261	5507
360	8274	5477
361	8304	5459
362	8329	5438
363	8342	5408
364	8354	5379
365	8368	5350
366	8410	5339
367	8439	5320
368	8457	5294
369	8473	5267
370	8488	5239
371	8516	5220
372	8533	5193
373	8546	5164
374	8558	5135
375	8587	5115
376	8603	5089
377	8616	5060
378	8629	5031
379	8661	5014
380	8676	4987
381	8702	4966
382	8726	4944
383	8742	4917
384	8755	4889
385	8768	4861
386	8781	4833
387	8811	4814
388	8826	4787
389	8838	4759
390	8851	4731
391	8881	4712
392	8903	4689
393	8922	4665
394	8936	4638
395	8969	4620
396	8988	4595
397	9002	4569
398	9015	4541
399	9047	4523
400	9063	4497
401	9076	4470
402	9088	4442
403	9119	4424
404	9135	4398
405	9149	4372
406	9180	4353
407	9196	4327
408	9209	4300
409	9222	4273
410	9257	4257
411	9272	4231
412	9285	4204
413	9298	4177
414	9312	4151
415	9342	4132
416	9359	4107
417	9372	4080
418	9404	4062
419	9422	4038
420	9449	4017
421	9471	3994
422	9488	3970
423	9502	3944
424	9515	3918
425	9529	3892
426	9561	3873
427	9581	3850
428	9596	3825
429	9610	3799
430	9624	3773
431	9638	3748
432	9652	3722
433	9665	3696
434	9678	3671
435	9692	3645
436	9723	3626
437	9742	3603
438	9756	3578
439	9769	3552
440	9799	3533
441	9817	3509
442	9831	3484
443	9843	3458
444	9857	3433
445	9870	3408
446	9901	3389
447	9918	3365
448	9931	3339
449	9962	3320
450	9978	3296
451	9992	3271
452	10023	3252
453	10039	3228
454	10052	3203
455	10065	3178
456	10095	3159
457	10110	3134
458	10123	3109
459	10136	3084
460	10164	3064
461	10181	3041
462	10194	3016
463	10235	3000
464	10283	2985
465	10313	2965
466	10331	2942
467	10346	2918
468	10357	2893
469	10371	2868
470	10402	2849
471	10418	2825
472	10431	2800
473	10443	2776
474	10474	2756
475	10490	2732
476	10504	2708
477	10515	2683
478	10545	2663
479	10560	2640
480	10578	2617
481	10593	2593
482	10606	2569
483	10636	2549
484	10651	2525
485	10665	2501
486	10677	2477
487	10691	2453
488	10704	2429
489	10732	2409
490	10748	2386
491	10762	2362
492	10775	2338
493	10804	2318
494	10820	2295
495	10833	2271
496	10845	2247
497	10877	2227
498	10893	2204
499	10906	2181
500	10937	2161
501	10954	2138
502	10968	2115
503	10999	2095
504	11017	2072
505	11030	2049
506	11043	2025
507	11079	2006
508	11096	1983
509	11111	1960
510	11142	1940
511	11159	1918
512	11172	1894
513	11185	1871
514	11217	1851
515	11235	1828
516	11248	1805
517	11262	1782
518	11290	1762
519	11308	1739
520	11322	1716
521	11354	1696
522	11369	1673
523	11386	1651
524	11419	1631
525	11437	1609
526	11451	1586
527	11483	1565
528	11502	1543
529	11515	1520
530	11529	1498
531	11560	1477
532	11576	1455
533	11589	1432
534	11619	1411
535	11639	1389
536	11653	1367
537	11666	1344
538	11680	1321
539	11694	1299
540	11708	1276
541	11722	1254
542	11739	1232
543	11770	1211
544	11786	1189
545	11800	1167
546	11812	1144
547	11825	1122
548	11858	1101
549	11875	1079
550	11899	1058
551	11925	1037
552	11941	1014
553	11955	992
554	11986	971
555	12003	949
556	12016	927
557	12047	906
558	12062	884
559	12076	862
560	12107	841
561	12125	819
562	12138	797
563	12169	776
564	12185	754
565	12200	732
566	12230	711
567	12247	689
568	12262	668
569	12291	646
570	12308	625
571	12322	603
572	12335	581
573	12364	560
574	12380	538
575	12394	516
576	12426	495
577	12443	473
578	12456	451
579	12486	430
580	12506	408
581	12521	387
582	12550	365
583	12566	344
584	12580	322
585	12610	301
586	12627	279
587	12642	258
588	12673	236
589	12690	215
590	12703	193
591	12716	171
592	12745	150
593	12761	128
594	12775	107
595	12806	85
596	12821	64
597	12835	42
598	12848	21
599	12878	0
